Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
83.7,47762514,1300,36740.4,38080.0,23296,40256,4135.2,"<unnamed>::leg(const spacepdhcg_gtoc12_retime_stage *, int, int, const double *, const unsigned char *, const double *, const unsigned char *, const double *, const int *, const double *, const <unnamed>::Controls *, double *, int *)"
9.8,5563554,1300,4279.7,4480.0,1632,4608,756.1,"<unnamed>::camp(const spacepdhcg_gtoc12_retime_stage *, int, const double *, int, const double *, double *, int *)"
6.5,3725903,100,37259.0,36896.0,35999,39520,1284.4,"<unnamed>::finish(const double *, int, int, const int *, const int *, int *, int *, <unnamed>::Result *, const spacepdhcg_gtoc12_retime_stage *, const double *, const int *, double *, const double *, const unsigned char *, double *, unsigned char *)"
