Wed Sep  9 04:00:38 2026    /home/angus/spacepdhcg-campaign-profile-v708/campaign.pstats

         182530825 function calls (179152562 primitive calls) in 115.026 seconds

   Ordered by: cumulative time
   List reduced from 3694 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1665078    1.810    0.000    3.519    0.000 _linalg.py:2598(norm)
   467578    1.790    0.000    3.924    0.000 rk.py:683(_estimate_error_norm)
  6987120    1.781    0.000    7.270    0.000 fromnumeric.py:1459(searchsorted)
    59457    1.697    0.000   93.998    0.002 verifier.py:266(propagate_burn)
 13825949    1.533    0.000    1.533    0.000 {built-in method builtins.min}
    59457    1.515    0.000   86.843    0.001 ivp.py:160(solve_ivp)
 13153387    1.454    0.000    1.455    0.000 {built-in method builtins.max}
  6227700    1.300    0.000   57.263    0.000 base.py:156(fun)
  9672601    1.175    0.000    1.175    0.000 {built-in method numpy.asarray}
        4    1.115    0.279    3.084    0.771 solution.py:161(parse_solution)
  6574923    1.095    0.000    1.095    0.000 {built-in method numpy.zeros}
 12455406    0.913    0.000    0.913    0.000 {built-in method math.sqrt}
    67309    0.913    0.000    0.930    0.000 ephemeris.py:171(_stumpff)
  1205732    0.805    0.000    1.504    0.000 fromnumeric.py:86(_wrapreduction_any_all)
  1526538    0.786    0.000    0.786    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1600993    0.655    0.000    0.655    0.000 {method 'dot' of 'numpy.ndarray' objects}
  7170917    0.641    0.000    0.641    0.000 {built-in method builtins.getattr}
    59457    0.634    0.000    1.239    0.000 verifier.py:171(__init__)
     1519    0.598    0.000    2.243    0.001 ephemeris.py:190(propagate_kepler)
        6    0.570    0.095    0.570    0.095 {method 'poll' of 'select.poll' objects}
   183402    0.492    0.000    0.579    0.000 _function_base_impl.py:1413(diff)
    65971    0.450    0.000    0.672    0.000 _arraysetops_impl.py:350(_unique1d)
    65790    0.445    0.000    1.355    0.000 ephemeris.py:213(time_equation)
  6987120    0.437    0.000    0.437    0.000 fromnumeric.py:1455(_searchsorted_dispatcher)
  7209961    0.431    0.000    0.431    0.000 multiarray.py:751(dot)
2563786/786450    0.428    0.000    0.783    0.000 encoder.py:278(_iterencode_list)
    59457    0.386    0.000    1.672    0.000 common.py:68(select_initial_step)
   467578    0.360    0.000   69.491    0.000 base.py:179(step)
   224810    0.333    0.000    0.681    0.000 verifier.py:249(append)
   384668    0.305    0.000    0.870    0.000 solution.py:157(_is_zero)
   118914    0.294    0.000    0.514    0.000 shape_base.py:293(hstack)
  1203523    0.294    0.000    0.294    0.000 {method 'copy' of 'numpy.ndarray' objects}
       36    0.291    0.008    0.291    0.008 gpu_lambert.py:299(_prepare)
  1601007    0.265    0.000    0.265    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  3445508    0.265    0.000    0.265    0.000 {built-in method builtins.issubclass}
    59457    0.251    0.000    0.586    0.000 base.py:5(check_arguments)
  2600551    0.248    0.000    0.248    0.000 {method 'append' of 'list' objects}


