Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.0,6725538,1560,4311.2,4544.0,1472,4704,809.2,"<unnamed>::camp(const spacepdhcg_gtoc12_retime_stage *, int, const double *, int, const double *, double *, int *)"
29.8,6678342,120,55652.8,55232.0,55104,57472,818.8,"<unnamed>::finish(const double *, int, int, const int *, const int *, int *, int *, <unnamed>::Result *, const spacepdhcg_gtoc12_retime_stage *, const double *, const int *, double *, const double *, const unsigned char *, double *, unsigned char *, const <unnamed>::Controls *, const spacepdhcg_gtoc12_forward_visit *, const spacepdhcg_gtoc12_forward_policy *, const double *, const double *, spacepdhcg_gtoc12_forward_result *, double *, double *, double *)"
28.7,6434240,1560,4124.5,4224.0,3519,4320,226.9,"<unnamed>::leg(const spacepdhcg_gtoc12_retime_stage *, int, int, const double *, const unsigned char *, const double *, const unsigned char *, const double *, const int *, const double *, const <unnamed>::Controls *, double *, int *)"
10.5,2361971,120,19683.1,23200.0,4127,23488,7031.5,"<unnamed>::advance_driver(int, spacepdhcg_gtoc12_retime_stage *, <unnamed>::Controls *, const spacepdhcg_gtoc12_forward_visit *, const spacepdhcg_gtoc12_forward_policy *, const spacepdhcg_gtoc12_driver_policy *, const spacepdhcg_gtoc12_driver_weight *, <unnamed>::DriverState *, const double *, const int *, const spacepdhcg_gtoc12_forward_result *, const double *, const double *, const unsigned char *, unsigned char *, unsigned long, unsigned long long)"
0.6,138047,120,1150.4,1152.0,1120,1184,13.7,memset32
0.3,62400,20,3120.0,3120.0,3104,3136,16.4,"<unnamed>::finish_driver(int, const spacepdhcg_gtoc12_retime_stage *, const <unnamed>::Controls *, const <unnamed>::DriverState *, unsigned char *, unsigned long)"
0.1,18208,20,910.4,896.0,896,928,16.3,"<unnamed>::init_driver(<unnamed>::DriverState *, const <unnamed>::Controls *)"
