Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
34.0,6784478,1560,4349.0,4576.0,1632,4704,777.4,"<unnamed>::camp(const spacepdhcg_gtoc12_retime_stage *, int, const double *, int, const double *, double *, int *)"
33.8,6740000,120,56166.7,55840.0,55711,57536,625.2,"<unnamed>::finish(const double *, int, int, const int *, const int *, int *, int *, <unnamed>::Result *, const spacepdhcg_gtoc12_retime_stage *, const double *, const int *, double *, const double *, const unsigned char *, double *, unsigned char *, const <unnamed>::Controls *, const spacepdhcg_gtoc12_forward_visit *, const spacepdhcg_gtoc12_forward_policy *, const double *, const double *, spacepdhcg_gtoc12_forward_result *, double *, double *, double *)"
32.2,6416705,1560,4113.3,4192.0,3488,4320,216.1,"<unnamed>::leg(const spacepdhcg_gtoc12_retime_stage *, int, int, const double *, const unsigned char *, const double *, const unsigned char *, const double *, const int *, const double *, const <unnamed>::Controls *, double *, int *)"
