Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.0,6725187,1560,4311.0,4544.0,1472,4704,808.8,"<unnamed>::camp(const spacepdhcg_gtoc12_retime_stage *, int, const double *, int, const double *, double *, int *)"
29.8,6677698,120,55647.5,55232.0,55104,57471,817.2,"<unnamed>::finish(const double *, int, int, const int *, const int *, int *, int *, <unnamed>::Result *, const spacepdhcg_gtoc12_retime_stage *, const double *, const int *, double *, const double *, const unsigned char *, double *, unsigned char *, const <unnamed>::Controls *, const spacepdhcg_gtoc12_forward_visit *, const spacepdhcg_gtoc12_forward_policy *, const double *, const double *, spacepdhcg_gtoc12_forward_result *, double *, double *, double *)"
28.7,6434941,1560,4125.0,4224.0,3488,4320,226.8,"<unnamed>::leg(const spacepdhcg_gtoc12_retime_stage *, int, int, const double *, const unsigned char *, const double *, const unsigned char *, const double *, const int *, const double *, const <unnamed>::Controls *, double *, int *)"
10.5,2361877,120,19682.3,23200.0,4128,23488,7033.8,"<unnamed>::advance_driver(int, spacepdhcg_gtoc12_retime_stage *, <unnamed>::Controls *, const spacepdhcg_gtoc12_forward_visit *, const spacepdhcg_gtoc12_forward_policy *, const spacepdhcg_gtoc12_driver_policy *, const spacepdhcg_gtoc12_driver_weight *, <unnamed>::DriverState *, const double *, const int *, const spacepdhcg_gtoc12_forward_result *, const double *, const double *, const unsigned char *, unsigned char *, unsigned long, unsigned long long)"
0.6,138111,120,1150.9,1152.0,1120,1184,13.7,memset32
0.3,62496,20,3124.8,3136.0,3104,3136,15.7,"<unnamed>::finish_driver(int, const spacepdhcg_gtoc12_retime_stage *, const <unnamed>::Controls *, const <unnamed>::DriverState *, unsigned char *, unsigned long)"
0.1,18176,20,908.8,896.0,896,928,16.1,"<unnamed>::init_driver(<unnamed>::DriverState *, const <unnamed>::Controls *)"
