Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.4,6725250,1560,4311.1,4544.0,1472,4704,808.6,"<unnamed>::camp(const spacepdhcg_gtoc12_retime_stage *, int, const double *, int, const double *, double *, int *)"
34.8,6434698,1560,4124.8,4224.0,3520,4320,226.4,"<unnamed>::leg(const spacepdhcg_gtoc12_retime_stage *, int, int, const double *, const unsigned char *, const double *, const unsigned char *, const double *, const int *, const double *, const <unnamed>::Controls *, double *, int *)"
23.9,4411629,120,36763.6,36640.0,36320,37728,430.8,"<unnamed>::finish(const double *, int, int, const int *, const int *, int *, int *, <unnamed>::Result *, const spacepdhcg_gtoc12_retime_stage *, const double *, const int *, double *, const double *, const unsigned char *, double *, unsigned char *, const <unnamed>::Controls *, const spacepdhcg_gtoc12_forward_visit *, const spacepdhcg_gtoc12_forward_policy *, const double *, const double *, spacepdhcg_gtoc12_forward_result *, double *, double *, double *)"
3.8,704957,120,5874.6,6592.0,4256,6912,1126.4,"<unnamed>::advance_driver(int, spacepdhcg_gtoc12_retime_stage *, <unnamed>::Controls *, const spacepdhcg_gtoc12_forward_visit *, const spacepdhcg_gtoc12_forward_policy *, const spacepdhcg_gtoc12_driver_policy *, const spacepdhcg_gtoc12_driver_weight *, <unnamed>::DriverState *, const double *, const int *, const spacepdhcg_gtoc12_forward_result *, const double *, const double *, const unsigned char *, unsigned char *, unsigned long, unsigned long long)"
0.7,138239,120,1152.0,1152.0,1120,1184,12.4,memset32
0.3,62528,20,3126.4,3136.0,3104,3136,15.0,"<unnamed>::finish_driver(int, const spacepdhcg_gtoc12_retime_stage *, const <unnamed>::Controls *, const <unnamed>::DriverState *, unsigned char *, unsigned long)"
0.1,18144,20,907.2,896.0,896,928,15.7,"<unnamed>::init_driver(<unnamed>::DriverState *, const <unnamed>::Controls *)"
